source,title,timestamp,continent,feed_url
BBC News Americas,What we know about Trump's latest travel ban,2025-06-05T16:32:25.333607,North America,https://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml
BBC News Americas,Why are these 12 countries on Trump's travel-ban list?,2025-06-05T16:32:25.333613,North America,https://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml
BBC News Americas,Ten African countries hit by bans and restrictions,2025-06-05T16:32:25.333615,North America,https://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml
BBC News Americas,Trump suspends foreign student visas at Harvard,2025-06-05T16:32:25.333618,North America,https://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml
BBC News Americas,"Trump orders inquiry into Biden's actions, alleging 'cognitive decline'",2025-06-05T16:32:25.333620,North America,https://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml
NPR News,"China says Trump and Xi talked on the phone, their first call since the tariff war began",2025-06-05T16:32:25.926322,North America,https://feeds.npr.org/1001/rss.xml
NPR News,Israel says it recovered the bodies of 2 U.S.-Israeli hostages,2025-06-05T16:32:25.926346,North America,https://feeds.npr.org/1001/rss.xml
NPR News,"Trump issues a new travel ban. And, GOP raises concerns over the budget bill",2025-06-05T16:32:25.926353,North America,https://feeds.npr.org/1001/rss.xml
NPR News,FEMA was starting to fix long-standing problems. Then came the Trump administration,2025-06-05T16:32:25.926360,North America,https://feeds.npr.org/1001/rss.xml
NPR News,Divorce lawyers say it's a seasonal business. Here's why,2025-06-05T16:32:25.926365,North America,https://feeds.npr.org/1001/rss.xml
The New York Times,"Xi and Trump Hold Talks, China Says",2025-06-05T16:32:26.543090,North America,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
The New York Times,U.S. Trade Deficit Plummets in April,2025-06-05T16:32:26.543102,North America,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
The New York Times,Trump Orders a Travel Ban on 12 Countries and an Investigation of Biden,2025-06-05T16:32:26.543107,North America,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
The New York Times,"In War-Torn Nations, Trump’s Travel Ban Brings a New Hardship",2025-06-05T16:32:26.543111,North America,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
The New York Times,Who Does Trump’s New Travel Ban Include and Exclude?,2025-06-05T16:32:26.543115,North America,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml
CBC News Canada,'There's a lot I wish I would have taken': Denare Beach residents in shock after northern Sask. wildfire,2025-06-05T16:32:27.314679,North America,https://rss.cbc.ca/lineup/topstories.xml
CBC News Canada,Israel recovers bodies of Canadian Israeli Judih Weinstein Haggai and husband held by Hamas,2025-06-05T16:32:27.314698,North America,https://rss.cbc.ca/lineup/topstories.xml
CBC News Canada,Bank of Canada looking for more certainty from U.S. before cutting rates,2025-06-05T16:32:27.314706,North America,https://rss.cbc.ca/lineup/topstories.xml
CBC News Canada,'I'm game': Danielle Smith invites Mark Carney to Oilers game,2025-06-05T16:32:27.314713,North America,https://rss.cbc.ca/lineup/topstories.xml
CBC News Canada,The FIFA World Cup is heading to Trump's U.S. Will the world want to come — or even be able to?,2025-06-05T16:32:27.314719,North America,https://rss.cbc.ca/lineup/topstories.xml
The Guardian US,Ice makes record number of immigration arrests on single day,2025-06-05T16:32:27.945738,North America,https://www.theguardian.com/us-news/rss
The Guardian US,Human rights groups condemn Trump’s ‘racist’ and ‘cruel’ travel ban – live,2025-06-05T16:32:27.945749,North America,https://www.theguardian.com/us-news/rss
The Guardian US,Trump’s unprecedented immigration crackdown is leaving children terrified and ‘truly alone’,2025-06-05T16:32:27.945753,North America,https://www.theguardian.com/us-news/rss
